Family_No,g_score,gf_score,gc_score,g_score_family,gf_score_family,gc_score_family,Age,Gender,Handedness,FD_mean,Spikes_mean
147,0.0239601536511959,-0.0768856386294018,0.315198319272693,-0.257926548669433,0.206607198070883,-0.0731720374999275,27,0,-65,0.0869647898725299,0.944444444444444
147,-0.539813250990063,0.490100034771168,-0.461542394272548,-0.257926548669433,0.206607198070883,-0.0731720374999275,29,0,55,0.089529362014504,0.388888888888889
329,0.139975649444825,0.576121842726355,-0.394529879610961,-0.254992654556453,0.317655363923759,-0.458549574731831,33,0,90,0.0738870514933695,11.4444444444444
329,-0.649960958557732,0.0591888851211623,-0.5225692698527,-0.254992654556453,0.317655363923759,-0.458549574731831,29,0,60,0.0924342760702773,3.11111111111111
216,0.62020208563202,0.747667672614407,0.185748629050033,-0.25460971767833,0.017798610426285,-0.0913498746187265,26,1,100,0.0678110720637631,1.66666666666667
216,-1.12942152098868,-0.712070451761837,-0.368448378287486,-0.25460971767833,0.017798610426285,-0.0913498746187265,25,0,55,0.0675815937188412,16.1666666666667
189,-0.245449209279685,-0.0332849816452187,-0.277573722291508,-0.245449209279685,-0.0332849816452187,-0.277573722291508,32,0,55,0.0820578467915204,1.11111111111111
258,-0.0573888705012715,-0.273463852940094,1.37679685736401,-0.237934085369992,-0.610479677475404,0.71586393490067,26,1,50,0.0673468471271173,6.22222222222222
258,-0.418479300238712,-0.947495502010714,0.0549310124373306,-0.237934085369992,-0.610479677475404,0.71586393490067,23,1,85,0.0631328101121662,1.27777777777778
33,-0.232119083652845,-0.249373760942859,-0.533330049866089,-0.232119083652845,-0.249373760942859,-0.533330049866089,32,0,-20,0.103415394298077,3.16666666666667
249,-1.03354852148963,-0.957734939689178,-0.561965546033054,-0.22221757979348,-0.267837500285106,0.374962011424773,34,1,70,0.0631873560986655,2.22222222222222
249,0.58911336190267,0.422059939118966,1.3118895688826,-0.22221757979348,-0.267837500285106,0.374962011424773,25,1,80,0.101060301536301,0.277777777777778
345,-1.11372665644601,-0.968800354472329,-0.963051289459153,-0.21902643801961,0.228596527574555,-0.344668906406382,27,0,100,0.053208391237771,1.94444444444444
345,0.0596999251731655,0.991439847930744,-0.698820238334436,-0.21902643801961,0.228596527574555,-0.344668906406382,28,0,80,0.100459026177147,3.66666666666667
345,0.396947417214015,0.663150089265251,0.627864808574443,-0.21902643801961,0.228596527574555,-0.344668906406382,31,0,80,0.0522459607822581,3.11111111111111
333,-0.0956998099987312,0.0505287478177002,-0.0203811652981319,-0.217001007291786,-0.198017805809754,0.277747612716874,30,0,100,0.103605721853781,2.72222222222222
333,-0.338302204584841,-0.446564359437209,0.575876390731879,-0.217001007291786,-0.198017805809754,0.277747612716874,29,0,95,0.0927330229550327,9.44444444444444
38,-0.523179986720651,0.367135232162497,-0.2506537038665,-0.2144517795282,-0.29622525740487,0.106471713337126,34,0,95,0.0788035749175433,20.7777777777778
38,-1.06459546983868,-0.969753678312591,0.342618615103136,-0.2144517795282,-0.29622525740487,0.106471713337126,32,0,-45,0.04895506942137,4.38888888888889
38,0.944420117974732,-0.286057326064517,0.227450228774741,-0.2144517795282,-0.29622525740487,0.106471713337126,34,1,70,0.0506628084296158,0.277777777777778
215,0.389175651638752,0.557656087457484,-0.0704527284401244,-0.203450515266494,0.0341580440627651,-0.194287749702319,29,1,65,0.0616481030371911,0.111111111111111
215,0.113995738484444,0.0283117193587016,0.0511120913281088,-0.203450515266494,0.0341580440627651,-0.194287749702319,27,1,90,0.0524009831472677,6.55555555555556
215,-0.922765902267588,-0.597484956467043,-0.887228216190764,-0.203450515266494,0.0341580440627651,-0.194287749702319,35,0,90,0.0581324770755277,20.7222222222222
